ticker,name,market_cap,sector,industry,website,employees,price,sma50,sma200,disparity_200,rsi14,rsi14_prev,rsi14_min_10,bb_upper,bb_lower,vol_ratio,tenkan,kijun,cloud_top,cloud_bot,c1_below_sma200,c4_bb_signal,c5_volume,c6a_tenkan_cross,c6b_below_cloud,c6c_cloud_breakout,c6d_inside_cloud,shares
TEAM,Atlassian,11353723992.0,Technology,Software - Application,https://www.atlassian.com,13813.0,66.94,74.546,140.996,-52.523,46.268,48.682,25.726,74.828,57.586,3.187,63.54,68.215,116.267,83.51,True,False,False,False,True,False,False,169610457
TTD,Trade Desk (The),9594445976.0,Communication Services,Advertising Agencies,https://www.thetradedesk.com,3843.0,22.47,24.375,44.217,-49.182,47.404,48.941,30.541,23.993,19.79,1.053,21.58,24.19,30.99,27.338,True,False,False,False,True,False,False,426989140
ZS,Zscaler,21655291880.0,Technology,Software - Infrastructure,https://www.zscaler.com,7923.0,134.68,150.732,242.013,-44.35,44.713,44.373,26.7,153.206,118.256,0.776,132.562,138.262,186.02,161.48,True,False,False,False,True,False,False,160790703
CSGP,CoStar Group,16674189916.0,Real Estate,Real Estate Services,https://www.costargroup.com,8441.0,39.72,44.026,68.748,-42.224,43.324,44.477,25.889,43.373,36.383,0.613,38.0,40.545,56.865,48.935,True,False,False,False,True,False,False,419793301
WDAY,"Workday, Inc.",26004300000.0,Technology,Software - Application,https://www.workday.com,21070.0,123.83,135.093,201.283,-38.48,44.328,45.356,27.644,138.633,112.776,1.001,121.25,125.98,169.345,142.788,True,False,False,False,True,False,False,210000000
NOW,ServiceNow,100154906719.0,Technology,Software - Application,https://www.servicenow.com,29187.0,96.66,105.609,155.251,-37.739,44.426,44.136,22.403,113.802,84.702,0.838,93.41,100.115,126.845,113.835,True,False,False,False,True,False,False,1036156701
AXON,Axon Enterprise,32458511173.0,Industrials,Aerospace & Defense,https://www.axon.com,5100.0,402.85,459.498,619.252,-34.946,43.927,41.245,25.149,500.199,328.819,0.805,376.61,427.72,523.15,521.498,True,False,False,False,True,False,False,80572201
INTU,Intuit,108753287500.0,Technology,Software - Application,https://www.intuit.com,18200.0,393.25,415.525,604.002,-34.893,44.478,42.139,25.902,466.164,348.797,0.926,379.89,407.709,511.58,423.716,True,False,False,False,True,False,False,276550000
IT,Gartner,10438425732.0,Technology,Information Technology Services,https://www.gartner.com,20244.0,154.62,156.951,233.557,-33.798,48.284,49.145,34.516,163.373,144.55,0.958,149.88,154.765,197.41,158.107,True,False,False,False,True,False,False,67510191
TRI,Thomson Reuters,41199935614.0,Industrials,Specialty Business Services,https://www.thomsonreuters.com,27100.0,93.01,92.537,139.013,-33.092,52.713,52.831,32.772,94.691,83.874,1.083,88.895,94.085,106.201,99.965,True,False,False,False,True,False,False,442962430
FISV,Fiserv,34095944687.0,,,,,63.97,59.117,94.685,-32.439,69.425,65.927,40.203,62.379,52.163,0.813,59.63,58.625,64.1,61.207,True,False,False,True,False,False,True,532998979
